     time     force
  3.90782E-01  2.73084E+00
  3.92786E-01  2.73814E+00
  3.94790E-01  2.74541E+00
  3.96794E-01  2.75264E+00
  3.98798E-01  2.75983E+00
  4.00802E-01  2.76698E+00
  4.02806E-01  2.77409E+00
  4.04810E-01  2.78117E+00
  4.06814E-01  2.78821E+00
  4.08818E-01  2.79521E+00
  4.10822E-01  2.80217E+00
  4.12826E-01  2.80910E+00
  4.14830E-01  2.81599E+00
  4.16834E-01  2.82284E+00
  4.18838E-01  2.82965E+00
  4.20842E-01  2.83643E+00
  4.22846E-01  2.84317E+00
  4.24850E-01  2.84988E+00
  4.26854E-01  2.85655E+00
  4.28858E-01  2.86319E+00
  4.30862E-01  2.86979E+00
  4.32866E-01  2.87635E+00
  4.34870E-01  2.88288E+00
  4.36874E-01  2.88938E+00
  4.38878E-01  2.89584E+00
  4.40882E-01  2.90226E+00
  4.42886E-01  2.90866E+00
  4.44890E-01  2.91501E+00
  4.46894E-01  2.92134E+00
  4.48898E-01  2.92763E+00
  4.50902E-01  2.93388E+00
  4.52906E-01  2.94011E+00
  4.54910E-01  2.94630E+00
  4.56914E-01  2.95245E+00
  4.58918E-01  2.95858E+00
  4.60922E-01  2.96467E+00
  4.62926E-01  2.97073E+00
  4.64930E-01  2.97675E+00
  4.66934E-01  2.98275E+00
  4.68938E-01  2.98871E+00
  4.70942E-01  2.99464E+00
  4.72946E-01  3.00054E+00
  4.74950E-01  3.00640E+00
  4.76954E-01  3.01224E+00
  4.78958E-01  3.01805E+00
  4.80962E-01  3.02382E+00
  4.82966E-01  3.02956E+00
  4.84970E-01  3.03527E+00
  4.86974E-01  3.04096E+00
  4.88978E-01  3.04661E+00
  4.90982E-01  3.05223E+00
  4.92986E-01  3.05782E+00
  4.94990E-01  3.06338E+00
  4.96994E-01  3.06891E+00
  4.98998E-01  3.07442E+00
  5.01002E-01  3.07989E+00
  5.03006E-01  3.08533E+00
  5.05010E-01  3.09075E+00
  5.07014E-01  3.09613E+00
  5.09018E-01  3.10149E+00
  5.11022E-01  3.10682E+00
  5.13026E-01  3.11212E+00
  5.15030E-01  3.11739E+00
  5.17034E-01  3.12263E+00
  5.19038E-01  3.12785E+00
  5.21042E-01  3.13304E+00
  5.23046E-01  3.13820E+00
  5.25050E-01  3.14333E+00
  5.27054E-01  3.14844E+00
  5.29058E-01  3.15351E+00
  5.31062E-01  3.15856E+00
  5.33066E-01  3.16359E+00
  5.35070E-01  3.16858E+00
  5.37074E-01  3.17356E+00
  5.39078E-01  3.17850E+00
  5.41082E-01  3.18342E+00
  5.43086E-01  3.18831E+00
  5.45090E-01  3.19317E+00
  5.47094E-01  3.19801E+00
  5.49098E-01  3.20283E+00
  5.51102E-01  3.20761E+00
  5.53106E-01  3.21238E+00
  5.55110E-01  3.21711E+00
  5.57114E-01  3.22182E+00
  5.59118E-01  3.22651E+00
  5.61122E-01  3.23117E+00
  5.63126E-01  3.23581E+00
  5.65130E-01  3.24042E+00
  5.67134E-01  3.24501E+00
