	time		Ca
    4.3200001121E-01    9.9999997172E-10    4.9945950741E-04
    4.3299999833E-01    9.9999997172E-10    4.9039802980E-04
    4.3399998546E-01    9.9999997172E-10    4.8150762450E-04
    4.3500000238E-01    9.9999997172E-10    4.6658565407E-04
    4.3599998951E-01    9.9999997172E-10    4.6425274923E-04
    4.3700000644E-01    9.9999997172E-10    4.5587759814E-04
    4.3799999356E-01    9.9999997172E-10    4.4765905477E-04
    4.3900001049E-01    9.9999997172E-10    4.3562857900E-04
    4.3999999762E-01    9.9999997172E-10    4.3171254219E-04
    4.4100001454E-01    9.9999997172E-10    4.2397054494E-04
    4.4200000167E-01    9.9999997172E-10    4.1637796676E-04
    4.4299998879E-01    9.9999997172E-10    4.0893978439E-04
    4.4400000572E-01    9.9999997172E-10    3.9769292925E-04
    4.4499999285E-01    9.9999997172E-10    3.9448190364E-04
    4.4600000978E-01    9.9999997172E-10    3.8746924838E-04
    4.4699999690E-01    9.9999997172E-10    3.8058453356E-04
    4.4800001383E-01    9.9999997172E-10    3.7007607170E-04
    4.4900000095E-01    9.9999997172E-10    3.6722977529E-04
