         pCa             force           
    6.3126301765E-01    6.8276195526E+00
    6.3326698542E-01    6.8283734322E+00
    6.3527101278E-01    6.8291177750E+00
    6.3727498055E-01    6.8298521042E+00
    6.3927900791E-01    6.8305773735E+00
    6.4128297567E-01    6.8312926292E+00
    6.4328700304E-01    6.8319993019E+00
    6.4529097080E-01    6.8326973915E+00
    6.4729499817E-01    6.8333859444E+00
    6.4929902554E-01    6.8340659142E+00
    6.5130299330E-01    6.8347373009E+00
    6.5330702066E-01    6.8354001045E+00
    6.5531098843E-01    6.8360538483E+00
    6.5731501579E-01    6.8366994858E+00
    6.5931898355E-01    6.8373374939E+00
    6.6132301092E-01    6.8379669189E+00
    6.6332697868E-01    6.8385882378E+00
    6.6533100605E-01    6.8392019272E+00
    6.6733497381E-01    6.8398079872E+00
    6.6933900118E-01    6.8404059410E+00
    6.7134302855E-01    6.8409962654E+00
    6.7334699631E-01    6.8415789604E+00
    6.7535102367E-01    6.8421540260E+00
    6.7735499144E-01    6.8427219391E+00
    6.7935901880E-01    6.8432831764E+00
    6.8136298656E-01    6.8438372612E+00
    6.8336701393E-01    6.8443837166E+00
    6.8537098169E-01    6.8449239731E+00
    6.8737500906E-01    6.8454566002E+00
    6.8937897682E-01    6.8459825516E+00
    6.9138300419E-01    6.8465018272E+00
    6.9338697195E-01    6.8470144272E+00
    6.9539099932E-01    6.8475208282E+00
    6.9739502668E-01    6.8480200768E+00
    6.9939899445E-01    6.8485140800E+00
    7.0140302181E-01    6.8490009308E+00
    7.0340698957E-01    6.8494820595E+00
    7.0541101694E-01    6.8499574661E+00
    7.0741498470E-01    6.8504261971E+00
    7.0941901207E-01    6.8508887291E+00
    7.1142297983E-01    6.8513460159E+00
    7.1342700720E-01    6.8517971039E+00
    7.1543097496E-01    6.8522419930E+00
    7.1743500233E-01    6.8526821136E+00
    7.1943902969E-01    6.8531165123E+00
    7.2144299746E-01    6.8535451889E+00
    7.2344702482E-01    6.8539686203E+00
    7.2545099258E-01    6.8543863297E+00
    7.2745501995E-01    6.8547992706E+00
    7.2945898771E-01    6.8552069664E+00
    7.3146301508E-01    6.8556098938E+00
    7.3346698284E-01    6.8560070992E+00
    7.3547101021E-01    6.8563995361E+00
    7.3747497797E-01    6.8567867279E+00
    7.3947900534E-01    6.8571686745E+00
    7.4148297310E-01    6.8575463295E+00
    7.4348700047E-01    6.8579187393E+00
    7.4549102783E-01    6.8582868576E+00
    7.4749499559E-01    6.8586497307E+00
    7.4949902296E-01    6.8590078354E+00
    7.5150299072E-01    6.8593621254E+00
    7.5350701809E-01    6.8597116470E+00
    7.5551098585E-01    6.8600568771E+00
    7.5751501322E-01    6.8603978157E+00
    7.5951898098E-01    6.8607344627E+00
    7.6152300835E-01    6.8610663414E+00
    7.6352697611E-01    6.8613939285E+00
    7.6553100348E-01    6.8617181778E+00
    7.6753497124E-01    6.8620376587E+00
    7.6953899860E-01    6.8623533249E+00
    7.7154302597E-01    6.8626651764E+00
    7.7354699373E-01    6.8629727364E+00
    7.7555102110E-01    6.8632769585E+00
    7.7755498886E-01    6.8635768890E+00
    7.7955901623E-01    6.8638730049E+00
    7.8156298399E-01    6.8641653061E+00
    7.8356701136E-01    6.8644537926E+00
    7.8557097912E-01    6.8647389412E+00
    7.8757500648E-01    6.8650202751E+00
    7.8957897425E-01    6.8652977943E+00
