         time            Ca              
    1.9569599628E-01    2.2109700737E-08    1.2909564972E+00
    1.9619600475E-01    2.1909299264E-08    1.2824182510E+00
    1.9669699669E-01    2.1712299514E-08    1.2739120722E+00
    1.9719700515E-01    2.1518500759E-08    1.2654708624E+00
    1.9769799709E-01    2.1327899447E-08    1.2570616007E+00
    1.9819800556E-01    2.1140499129E-08    1.2487168312E+00
    1.9869899750E-01    2.0956200331E-08    1.2404037714E+00
    1.9919900596E-01    2.0774900023E-08    1.2321548462E+00
    1.9969999790E-01    2.0596599981E-08    1.2239375114E+00
    2.0020000637E-01    2.0421300206E-08    1.2157837152E+00
    2.0070099831E-01    2.0248899446E-08    1.2076612711E+00
    2.0120100677E-01    2.0079300000E-08    1.1996020079E+00
    2.0170199871E-01    1.9912599569E-08    1.1915738583E+00
    2.0220200717E-01    1.9748599200E-08    1.1836084127E+00
    2.0270299911E-01    1.9587300670E-08    1.1756738424E+00
    2.0320299268E-01    1.9428599174E-08    1.1678016186E+00
    2.0370399952E-01    1.9272700769E-08    1.1599599123E+00
    2.0420399308E-01    1.9119200445E-08    1.1521799564E+00
    2.0470499992E-01    1.8968400184E-08    1.1444303989E+00
    2.0520499349E-01    1.8819999781E-08    1.1367422342E+00
    2.0570600033E-01    1.8674100488E-08    1.1290842295E+00
    2.0620599389E-01    1.8530499801E-08    1.1214870214E+00
    2.0670700073E-01    1.8389400225E-08    1.1139197350E+00
    2.0720699430E-01    1.8250599254E-08    1.1064128876E+00
    2.0770800114E-01    1.8114100442E-08    1.0989356041E+00
    2.0820799470E-01    1.7979800759E-08    1.0915182829E+00
    2.0870900154E-01    1.7847799683E-08    1.0841304064E+00
    2.0920899510E-01    1.7717999512E-08    1.0768018961E+00
    2.0971000195E-01    1.7590300772E-08    1.0695027113E+00
    2.1020999551E-01    1.7464699908E-08    1.0622622967E+00
    2.1071100235E-01    1.7341200476E-08    1.0550509691E+00
    2.1121099591E-01    1.7219699444E-08    1.0478978157E+00
    2.1171200275E-01    1.7100299843E-08    1.0407737494E+00
    2.1221199632E-01    1.6982799167E-08    1.0337072611E+00
    2.1271300316E-01    1.6867300445E-08    1.0266695023E+00
    2.1321299672E-01    1.6753700649E-08    1.0196888447E+00
    2.1371400356E-01    1.6641900302E-08    1.0127367973E+00
    2.1421399713E-01    1.6532000657E-08    1.0058411360E+00
    2.1471500397E-01    1.6423999938E-08    9.9897402525E-01
    2.1521499753E-01    1.6317699192E-08    9.9216282368E-01
    2.1571600437E-01    1.6213199672E-08    9.8537981510E-01
    2.1621599793E-01    1.6110400125E-08    9.7865223885E-01
    2.1671700478E-01    1.6009300552E-08    9.7195267677E-01
    2.1721699834E-01    1.5909799700E-08    9.6530795097E-01
    2.1771800518E-01    1.5812100074E-08    9.5869094133E-01
    2.1821799874E-01    1.5715899693E-08    9.5212829113E-01
    2.1871900558E-01    1.5621299809E-08    9.4559329748E-01
    2.1921899915E-01    1.5528300423E-08    9.3911200762E-01
    2.1972000599E-01    1.5436899758E-08    9.3265801668E-01
    2.2021999955E-01    1.5346900639E-08    9.2625731230E-01
    2.2072100639E-01    1.5258400765E-08    9.1988372803E-01
    2.2122099996E-01    1.5171400136E-08    9.1356283426E-01
    2.2172200680E-01    1.5085900529E-08    9.0726888180E-01
    2.2222200036E-01    1.5001699438E-08    9.0102708340E-01
    2.2272300720E-01    1.4918999369E-08    8.9481192827E-01
    2.2322300076E-01    1.4837599593E-08    8.8864839077E-01
    2.2372399271E-01    1.4757599587E-08    8.8251155615E-01
    2.2422400117E-01    1.4678800397E-08    8.7642544508E-01
    2.2472499311E-01    1.4601400089E-08    8.7036591768E-01
