         time            Ca              
    2.9879900813E-01    2.0600600692E-06    6.3933806419E+00
    2.9954999685E-01    2.0091499664E-06    6.3945584297E+00
    3.0030000210E-01    1.9594899641E-06    6.3954238892E+00
    3.0105099082E-01    1.9110700578E-06    6.3959636688E+00
    3.0180200934E-01    1.8638399979E-06    6.3961653709E+00
    3.0255299807E-01    1.8177699985E-06    6.3960161209E+00
    3.0330300331E-01    1.7728500552E-06    6.3955111504E+00
    3.0405399203E-01    1.7290300320E-06    6.3946356773E+00
    3.0480501056E-01    1.8688200498E-06    6.3934006691E+00
    3.0555599928E-01    2.0092700197E-06    6.3919296265E+00
    3.0630600452E-01    2.1428700165E-06    6.3903598785E+00
    3.0705699325E-01    2.2699500732E-06    6.3888039589E+00
    3.0780801177E-01    2.3908201001E-06    6.3873662949E+00
    3.0855900049E-01    2.5057900075E-06    6.3861370087E+00
    3.0930900574E-01    2.6151499242E-06    6.3851938248E+00
    3.1005999446E-01    2.7191699701E-06    6.3845996857E+00
    3.1081101298E-01    2.8181200378E-06    6.3844122887E+00
    3.1156200171E-01    2.9122300020E-06    6.3846755028E+00
    3.1231200695E-01    2.9984998946E-06    6.3854269981E+00
    3.1306299567E-01    2.9243899462E-06    6.3866758347E+00
    3.1381401420E-01    2.8521199056E-06    6.3883371353E+00
    3.1456500292E-01    2.7816299735E-06    6.3903107643E+00
    3.1531500816E-01    2.7128799047E-06    6.3925094604E+00
    3.1606599689E-01    2.6458299089E-06    6.3948645592E+00
    3.1681698561E-01    2.5804399684E-06    6.3973045349E+00
    3.1756800413E-01    2.5166700652E-06    6.3997678757E+00
    3.1831800938E-01    2.4544699500E-06    6.4021992683E+00
    3.1906899810E-01    2.3938100639E-06    6.4045567513E+00
    3.1981998682E-01    2.3346499347E-06    6.4067950249E+00
    3.2057100534E-01    2.2769499992E-06    6.4088768959E+00
    3.2132101059E-01    2.2206800168E-06    6.4107680321E+00
    3.2207199931E-01    2.1657899651E-06    6.4124450684E+00
    3.2282298803E-01    2.1122700673E-06    6.4138793945E+00
    3.2357400656E-01    2.0600600692E-06    6.4150485992E+00
    3.2432401180E-01    2.0091499664E-06    6.4159331322E+00
    3.2507500052E-01    1.9594899641E-06    6.4165186882E+00
    3.2582598925E-01    1.9110700578E-06    6.4167885780E+00
    3.2657700777E-01    1.8638399979E-06    6.4167308807E+00
    3.2732701302E-01    1.8177699985E-06    6.4163355827E+00
    3.2807800174E-01    1.7728500552E-06    6.4155931473E+00
    3.2882899046E-01    1.7290300320E-06    6.4144906998E+00
    3.2958000898E-01    1.8688200498E-06    6.4130406380E+00
    3.3033001423E-01    2.0092700197E-06    6.4113645554E+00
    3.3108100295E-01    2.1428700165E-06    6.4095902443E+00
    3.3183199167E-01    2.2699500732E-06    6.4078330994E+00
    3.3258301020E-01    2.3908201001E-06    6.4061942101E+00
    3.3333298564E-01    2.5057900075E-06    6.4047632217E+00
    3.3408400416E-01    2.6151499242E-06    6.4036111832E+00
